UID,JOIN_DATE
385641,2010-03-02
387360,2010-03-03
388120,2010-03-04
389345,2010-03-04
390162,2010-03-05
390777,2010-03-05
390901,2010-03-05
390953,2010-03-05
391715,2010-03-07
393616,2010-03-08
394290,2010-03-07
394346,2010-03-07
395039,2010-03-08
396551,2010-03-08
